timestamp,pir_level,gas_level_ppm,sound_level_dB,temperature_C,occupancy_count,scenario,speaker_on,vacate_condition
2026-04-07T10:41:04.738491,35,316,32,25.0,45,normal,off,stay
2026-04-07T10:41:09.738491,17,306,47,23.8,13,normal,off,stay
2026-04-07T10:41:14.738491,29,224,43,20.8,33,normal,off,stay
2026-04-07T10:41:19.738491,36,309,41,24.9,35,normal,off,stay
2026-04-07T10:41:24.738491,58,507,59,31.4,129,warning,on,prepare
2026-04-07T10:41:29.738491,55,345,51,26.3,126,warning,on,prepare
2026-04-07T10:41:34.738491,40,317,56,22.9,132,warning,on,prepare
2026-04-07T10:41:39.738491,58,727,80,49.3,242,alert,on,evacuate
2026-04-07T10:41:44.738491,69,730,83,36.4,211,alert,on,evacuate
2026-04-07T10:41:49.738491,62,627,104,62.7,178,alert,on,evacuate
2026-04-07T10:41:54.738491,27,228,31,17.6,34,normal,off,stay
2026-04-07T10:41:59.738491,21,258,39,20.4,21,normal,off,stay
2026-04-07T10:42:04.738491,18,299,39,24.7,24,normal,off,stay
2026-04-07T10:42:09.738491,33,283,28,21.9,24,normal,off,stay
2026-04-07T10:42:14.738491,80,687,84,43.7,267,alert,on,evacuate
2026-04-07T10:42:19.738491,64,400,73,37.8,81,warning,on,prepare
2026-04-07T10:42:24.738491,36,529,58,34.7,111,warning,on,prepare
2026-04-07T10:42:29.738491,32,206,32,20.5,16,normal,off,stay
2026-04-07T10:42:34.738491,10,202,27,17.2,45,normal,off,stay
2026-04-07T10:42:39.738491,89,746,106,35.1,336,alert,on,evacuate
2026-04-07T10:42:44.738491,36,283,29,20.2,19,normal,off,stay
2026-04-07T10:42:49.738491,23,282,34,18.1,28,normal,off,stay
2026-04-07T10:42:54.738491,87,695,67,51.5,154,alert,on,evacuate
2026-04-07T10:42:59.738491,32,311,36,20.9,30,normal,off,stay
2026-04-07T10:43:04.738491,59,456,60,22.8,128,warning,on,prepare
2026-04-07T10:43:09.738491,43,406,71,35.8,77,warning,on,prepare
2026-04-07T10:43:14.738491,72,688,83,40.0,206,alert,on,evacuate
2026-04-07T10:43:19.738491,37,366,56,25.8,104,warning,on,prepare
2026-04-07T10:43:24.738491,40,339,46,24.4,70,warning,on,prepare
2026-04-07T10:43:29.738491,80,762,90,45.0,283,alert,on,evacuate
2026-04-07T10:43:34.738491,43,423,53,36.8,131,warning,on,prepare
2026-04-07T10:43:39.738491,18,343,34,17.5,16,normal,off,stay
2026-04-07T10:43:44.738491,71,568,77,60.6,185,alert,on,evacuate
2026-04-07T10:43:49.738491,59,344,55,31.1,137,warning,on,prepare
2026-04-07T10:43:54.738491,22,285,27,17.3,41,normal,off,stay
2026-04-07T10:43:59.738491,32,285,32,24.5,13,normal,off,stay
2026-04-07T10:44:04.738491,32,339,40,22.7,23,normal,off,stay
2026-04-07T10:44:09.738491,15,224,30,22.8,22,normal,off,stay
2026-04-07T10:44:14.738491,19,258,27,17.0,24,normal,off,stay
2026-04-07T10:44:19.738491,34,273,39,25.4,46,normal,off,stay
2026-04-07T10:44:24.738491,63,721,83,41.3,192,alert,on,evacuate
2026-04-07T10:44:29.738491,13,257,28,20.2,12,normal,off,stay
2026-04-07T10:44:34.738491,48,381,46,27.6,98,warning,on,prepare
2026-04-07T10:44:39.738491,37,460,57,27.2,105,warning,on,prepare
2026-04-07T10:44:44.738491,53,327,43,24.2,64,warning,on,prepare
2026-04-07T10:44:49.738491,61,572,77,47.1,180,alert,on,evacuate
2026-04-07T10:44:54.738491,34,184,31,20.5,48,normal,off,stay
2026-04-07T10:44:59.738491,40,459,53,26.9,107,warning,on,prepare
2026-04-07T10:45:04.738491,43,493,66,33.0,127,warning,on,prepare
2026-04-07T10:45:09.738491,67,759,75,47.9,282,alert,on,evacuate
2026-04-07T10:45:14.738491,35,353,36,23.6,31,normal,off,stay
2026-04-07T10:45:19.738491,40,349,46,26.9,88,warning,on,prepare
2026-04-07T10:45:24.738491,76,549,69,57.9,151,alert,on,evacuate
2026-04-07T10:45:29.738491,73,538,75,41.4,245,alert,on,evacuate
2026-04-07T10:45:34.738491,22,232,45,23.1,53,normal,off,stay
2026-04-07T10:45:39.738491,25,274,37,23.8,42,normal,off,stay
2026-04-07T10:45:44.738491,25,236,45,23.6,45,normal,off,stay
2026-04-07T10:45:49.738491,78,530,101,34.5,328,alert,on,evacuate
2026-04-07T10:45:54.738491,42,496,55,34.6,86,warning,on,prepare
2026-04-07T10:45:59.738491,51,390,60,28.8,66,warning,on,prepare
2026-04-07T10:46:04.738491,53,461,54,26.3,118,warning,on,prepare
2026-04-07T10:46:09.738491,15,356,30,22.0,59,normal,off,stay
2026-04-07T10:46:14.738491,66,465,73,26.4,77,warning,on,prepare
2026-04-07T10:46:19.738491,64,589,79,41.3,153,alert,on,evacuate
2026-04-07T10:46:24.738491,60,669,70,48.2,293,alert,on,evacuate
2026-04-07T10:46:29.738491,14,361,43,20.6,29,normal,off,stay
2026-04-07T10:46:34.738491,22,171,38,19.4,18,normal,off,stay
2026-04-07T10:46:39.738491,73,610,79,53.1,252,alert,on,evacuate
2026-04-07T10:46:44.738491,40,331,36,20.8,30,normal,off,stay
2026-04-07T10:46:49.738491,44,419,59,27.6,112,warning,on,prepare
2026-04-07T10:46:54.738491,32,196,30,17.0,16,normal,off,stay
2026-04-07T10:46:59.738491,23,302,27,23.1,11,normal,off,stay
2026-04-07T10:47:04.738491,34,193,38,17.1,53,normal,off,stay
2026-04-07T10:47:09.738491,62,727,86,47.2,324,alert,on,evacuate
2026-04-07T10:47:14.738491,18,266,27,21.5,37,normal,off,stay
2026-04-07T10:47:19.738491,56,369,56,24.8,68,warning,on,prepare
2026-04-07T10:47:24.738491,71,631,76,45.6,200,alert,on,evacuate
2026-04-07T10:47:29.738491,42,239,32,22.9,43,normal,off,stay
2026-04-07T10:47:34.738491,57,413,52,31.4,134,warning,on,prepare
2026-04-07T10:47:39.738491,70,745,93,55.0,300,alert,on,evacuate
2026-04-07T10:47:44.738491,34,258,40,19.8,50,normal,off,stay
2026-04-07T10:47:49.738491,12,318,49,23.8,45,normal,off,stay
2026-04-07T10:47:54.738491,32,365,43,22.1,111,warning,on,prepare
2026-04-07T10:47:59.738491,57,336,60,24.9,76,warning,on,prepare
2026-04-07T10:48:04.738491,80,740,82,60.4,142,alert,on,evacuate
2026-04-07T10:48:09.738491,84,627,87,38.5,142,alert,on,evacuate
2026-04-07T10:48:14.738491,10,259,29,23.1,60,normal,off,stay
2026-04-07T10:48:19.738491,16,325,36,19.4,34,normal,off,stay
2026-04-07T10:48:24.738491,14,277,40,19.7,57,normal,off,stay
2026-04-07T10:48:29.738491,10,224,38,19.1,37,normal,off,stay
2026-04-07T10:48:34.738491,58,355,65,30.2,91,warning,on,prepare
2026-04-07T10:48:39.738491,14,274,37,20.0,52,normal,off,stay
2026-04-07T10:48:44.738491,9,184,28,17.9,20,normal,off,stay
2026-04-07T10:48:49.738491,66,600,75,46.8,317,alert,on,evacuate
2026-04-07T10:48:54.738491,73,639,89,42.4,194,alert,on,evacuate
2026-04-07T10:48:59.738491,44,448,67,35.0,130,warning,on,prepare
2026-04-07T10:49:04.738491,73,763,68,50.4,277,alert,on,evacuate
2026-04-07T10:49:09.738491,60,357,47,33.1,69,warning,on,prepare
2026-04-07T10:49:14.738491,50,456,48,35.4,124,warning,on,prepare
2026-04-07T10:49:19.738491,11,348,42,23.1,12,normal,off,stay
2026-04-07T10:49:24.738491,24,349,29,22.2,33,normal,off,stay
2026-04-07T10:49:29.738491,37,196,39,20.8,34,normal,off,stay
2026-04-07T10:49:34.738491,61,359,57,37.2,70,warning,on,prepare
2026-04-07T10:49:39.738491,15,256,36,23.5,47,normal,off,stay
2026-04-07T10:49:44.738491,36,252,31,24.8,41,normal,off,stay
2026-04-07T10:49:49.738491,17,211,34,19.7,16,normal,off,stay
2026-04-07T10:49:54.738491,22,224,36,24.4,56,normal,off,stay
2026-04-07T10:49:59.738491,26,235,38,23.2,31,normal,off,stay
2026-04-07T10:50:04.738491,54,451,62,33.2,91,warning,on,prepare
2026-04-07T10:50:09.738491,46,427,62,28.0,64,warning,on,prepare
2026-04-07T10:50:14.738491,23,205,42,22.1,20,normal,off,stay
2026-04-07T10:50:19.738491,11,247,35,19.2,48,normal,off,stay
2026-04-07T10:50:24.738491,60,345,51,29.7,66,warning,on,prepare
2026-04-07T10:50:29.738491,36,515,54,25.6,81,warning,on,prepare
2026-04-07T10:50:34.738491,56,643,85,50.4,330,alert,on,evacuate
2026-04-07T10:50:39.738491,53,394,67,26.6,93,warning,on,prepare
2026-04-07T10:50:44.738491,55,479,81,53.8,169,alert,on,evacuate
2026-04-07T10:50:49.738491,58,347,67,26.5,89,warning,on,prepare
2026-04-07T10:50:54.738491,21,338,35,20.4,58,normal,off,stay
2026-04-07T10:50:59.738491,64,425,45,26.6,96,warning,on,prepare
2026-04-07T10:51:04.738491,42,428,49,32.7,124,warning,on,prepare
2026-04-07T10:51:09.738491,52,518,68,55.6,246,alert,on,evacuate
2026-04-07T10:51:14.738491,40,407,60,28.5,127,warning,on,prepare
2026-04-07T10:51:19.738491,53,371,61,30.0,140,warning,on,prepare
2026-04-07T10:51:24.738491,21,274,40,21.7,27,normal,off,stay
2026-04-07T10:51:29.738491,68,737,96,56.1,243,alert,on,evacuate
2026-04-07T10:51:34.738491,44,393,57,30.4,115,warning,on,prepare
2026-04-07T10:51:39.738491,38,253,34,21.3,54,normal,off,stay
2026-04-07T10:51:44.738491,37,339,31,18.1,30,normal,off,stay
2026-04-07T10:51:49.738491,50,374,56,24.2,104,warning,on,prepare
2026-04-07T10:51:54.738491,31,191,30,20.8,59,normal,off,stay
2026-04-07T10:51:59.738491,14,206,29,20.5,42,normal,off,stay
2026-04-07T10:52:04.738491,38,291,41,23.2,45,normal,off,stay
2026-04-07T10:52:09.738491,12,247,36,22.2,33,normal,off,stay
2026-04-07T10:52:14.738491,11,370,42,21.1,33,normal,off,stay
2026-04-07T10:52:19.738491,34,239,33,22.4,12,normal,off,stay
2026-04-07T10:52:24.738491,82,606,66,54.9,274,alert,on,evacuate
2026-04-07T10:52:29.738491,33,320,33,19.6,10,normal,off,stay
2026-04-07T10:52:34.738491,56,490,67,25.8,68,warning,on,prepare
2026-04-07T10:52:39.738491,23,236,32,22.8,10,normal,off,stay
2026-04-07T10:52:44.738491,26,229,31,25.2,15,normal,off,stay
2026-04-07T10:52:49.738491,9,265,30,16.3,49,normal,off,stay
2026-04-07T10:52:54.738491,48,356,60,31.7,108,warning,on,prepare
2026-04-07T10:52:59.738491,36,337,37,21.7,59,normal,off,stay
2026-04-07T10:53:04.738491,38,263,32,24.0,38,normal,off,stay
2026-04-07T10:53:09.738491,62,415,47,32.9,73,warning,on,prepare
2026-04-07T10:53:14.738491,34,324,65,29.6,67,warning,on,prepare
2026-04-07T10:53:19.738491,29,293,28,17.2,58,normal,off,stay
2026-04-07T10:53:24.738491,44,405,47,32.5,75,warning,on,prepare
2026-04-07T10:53:29.738491,25,235,38,23.4,46,normal,off,stay
2026-04-07T10:53:34.738491,33,313,33,22.9,49,normal,off,stay
2026-04-07T10:53:39.738491,63,603,98,33.2,273,alert,on,evacuate
2026-04-07T10:53:44.738491,29,180,39,19.6,44,normal,off,stay
2026-04-07T10:53:49.738491,66,721,87,60.6,262,alert,on,evacuate
2026-04-07T10:53:54.738491,77,596,71,61.2,250,alert,on,evacuate
2026-04-07T10:53:59.738491,34,311,39,19.8,54,normal,off,stay
2026-04-07T10:54:04.738491,44,337,59,32.5,83,warning,on,prepare
2026-04-07T10:54:09.738491,85,543,96,50.6,209,alert,on,evacuate
2026-04-07T10:54:14.738491,53,459,43,31.4,67,warning,on,prepare
2026-04-07T10:54:19.738491,20,198,26,19.4,51,normal,off,stay
2026-04-07T10:54:24.738491,62,639,75,52.6,294,alert,on,evacuate
2026-04-07T10:54:29.738491,85,777,85,49.4,338,alert,on,evacuate
2026-04-07T10:54:34.738491,18,254,44,23.2,46,normal,off,stay
2026-04-07T10:54:39.738491,39,371,64,35.9,140,warning,on,prepare
2026-04-07T10:54:44.738491,40,398,59,25.0,80,warning,on,prepare
2026-04-07T10:54:49.738491,34,246,41,25.3,42,normal,off,stay
2026-04-07T10:54:54.738491,71,522,72,28.8,73,warning,on,prepare
2026-04-07T10:54:59.738491,44,434,50,32.1,76,warning,on,prepare
2026-04-07T10:55:04.738491,58,560,77,43.0,202,alert,on,evacuate
2026-04-07T10:55:09.738491,24,254,30,18.2,55,normal,off,stay
2026-04-07T10:55:14.738491,17,258,39,18.8,19,normal,off,stay
2026-04-07T10:55:19.738491,26,207,33,21.5,20,normal,off,stay
2026-04-07T10:55:24.738491,19,199,47,26.1,18,normal,off,stay
2026-04-07T10:55:29.738491,18,241,44,25.1,51,normal,off,stay
2026-04-07T10:55:34.738491,91,751,104,49.8,249,alert,on,evacuate
2026-04-07T10:55:39.738491,15,311,30,18.2,52,normal,off,stay
2026-04-07T10:55:44.738491,32,249,30,19.1,44,normal,off,stay
2026-04-07T10:55:49.738491,39,267,28,22.0,22,normal,off,stay
2026-04-07T10:55:54.738491,55,322,45,23.9,73,warning,on,prepare
2026-04-07T10:55:59.738491,11,329,32,22.6,25,normal,off,stay
2026-04-07T10:56:04.738491,95,543,103,64.7,224,alert,on,evacuate
2026-04-07T10:56:09.738491,44,458,48,24.1,79,warning,on,prepare
2026-04-07T10:56:14.738491,32,346,49,31.6,99,warning,on,prepare
2026-04-07T10:56:19.738491,23,320,32,22.3,27,normal,off,stay
2026-04-07T10:56:24.738491,37,230,33,21.2,54,normal,off,stay
2026-04-07T10:56:29.738491,13,264,35,19.6,48,normal,off,stay
2026-04-07T10:56:34.738491,25,297,36,21.4,51,normal,off,stay
2026-04-07T10:56:39.738491,53,454,68,30.8,88,warning,on,prepare
2026-04-07T10:56:44.738491,46,411,43,22.7,76,warning,on,prepare
2026-04-07T10:56:49.738491,20,207,32,17.9,12,normal,off,stay
2026-04-07T10:56:54.738491,17,294,38,23.0,48,normal,off,stay
2026-04-07T10:56:59.738491,73,690,85,40.5,258,alert,on,evacuate
2026-04-07T10:57:04.738491,39,553,60,34.4,123,warning,on,prepare
2026-04-07T10:57:09.738491,41,326,51,31.5,119,warning,on,prepare
2026-04-07T10:57:14.738491,19,277,31,26.1,55,normal,off,stay
2026-04-07T10:57:19.738491,32,329,30,21.0,41,normal,off,stay
2026-04-07T10:57:24.738491,12,370,47,24.2,41,normal,off,stay
2026-04-07T10:57:29.738491,40,335,35,24.9,58,normal,off,stay
2026-04-07T10:57:34.738491,68,504,52,28.9,71,warning,on,prepare
2026-04-07T10:57:39.738491,24,336,37,20.0,48,normal,off,stay
2026-04-07T10:57:44.738491,65,539,86,53.9,335,alert,on,evacuate
2026-04-07T10:57:49.738491,16,291,27,22.9,17,normal,off,stay
2026-04-07T10:57:54.738491,56,537,94,36.6,253,alert,on,evacuate
2026-04-07T10:57:59.738491,22,290,46,22.1,53,normal,off,stay
2026-04-07T10:58:04.738491,34,355,37,22.5,26,normal,off,stay
2026-04-07T10:58:09.738491,15,290,41,23.3,48,normal,off,stay
2026-04-07T10:58:14.738491,16,249,39,19.2,16,normal,off,stay
2026-04-07T10:58:19.738491,22,243,29,23.2,57,normal,off,stay
2026-04-07T10:58:24.738491,49,495,58,31.7,124,warning,on,prepare
2026-04-07T10:58:29.738491,29,304,35,23.0,52,normal,off,stay
2026-04-07T10:58:34.738491,87,760,97,55.6,144,alert,on,evacuate
2026-04-07T10:58:39.738491,40,347,33,22.7,23,normal,off,stay
2026-04-07T10:58:44.738491,40,322,48,25.8,52,normal,off,stay
2026-04-07T10:58:49.738491,47,331,50,24.7,122,warning,on,prepare
2026-04-07T10:58:54.738491,60,677,85,48.3,226,alert,on,evacuate
2026-04-07T10:58:59.738491,63,353,62,31.2,96,warning,on,prepare
2026-04-07T10:59:04.738491,66,590,85,31.8,169,alert,on,evacuate
2026-04-07T10:59:09.738491,38,537,67,31.7,65,warning,on,prepare
2026-04-07T10:59:14.738491,22,186,32,20.4,36,normal,off,stay
2026-04-07T10:59:19.738491,47,491,51,31.3,116,warning,on,prepare
2026-04-07T10:59:24.738491,19,240,35,21.2,38,normal,off,stay
2026-04-07T10:59:29.738491,15,293,37,23.9,45,normal,off,stay
2026-04-07T10:59:34.738491,15,275,32,18.9,35,normal,off,stay
2026-04-07T10:59:39.738491,60,515,79,42.3,160,alert,on,evacuate
2026-04-07T10:59:44.738491,23,336,43,19.7,27,normal,off,stay
2026-04-07T10:59:49.738491,47,478,53,27.4,107,warning,on,prepare
2026-04-07T10:59:54.738491,52,501,66,28.3,123,warning,on,prepare
2026-04-07T10:59:59.738491,96,776,76,65.7,336,alert,on,evacuate
2026-04-07T11:00:04.738491,25,347,46,23.4,22,normal,off,stay
2026-04-07T11:00:09.738491,92,630,81,47.8,259,alert,on,evacuate
2026-04-07T11:00:14.738491,45,436,68,32.0,108,warning,on,prepare
2026-04-07T11:00:19.738491,15,319,34,20.7,24,normal,off,stay
2026-04-07T11:00:24.738491,12,302,30,23.9,60,normal,off,stay
2026-04-07T11:00:29.738491,36,357,52,24.1,70,warning,on,prepare
2026-04-07T11:00:34.738491,40,298,44,26.0,45,normal,off,stay
2026-04-07T11:00:39.738491,23,351,35,19.1,15,normal,off,stay
2026-04-07T11:00:44.738491,57,372,61,29.0,82,warning,on,prepare
2026-04-07T11:00:49.738491,72,633,88,44.2,323,alert,on,evacuate
2026-04-07T11:00:54.738491,39,309,45,21.4,43,normal,off,stay
2026-04-07T11:00:59.738491,23,364,40,20.4,35,normal,off,stay
2026-04-07T11:01:04.738491,25,205,30,17.2,17,normal,off,stay
2026-04-07T11:01:09.738491,56,467,48,29.5,73,warning,on,prepare
2026-04-07T11:01:14.738491,57,393,43,30.6,126,warning,on,prepare
2026-04-07T11:01:19.738491,26,338,31,18.9,42,normal,off,stay
2026-04-07T11:01:24.738491,36,217,44,22.1,10,normal,off,stay
2026-04-07T11:01:29.738491,27,237,39,22.7,13,normal,off,stay
2026-04-07T11:01:34.738491,47,455,52,32.1,111,warning,on,prepare
2026-04-07T11:01:39.738491,28,237,45,22.8,50,normal,off,stay
2026-04-07T11:01:44.738491,74,532,69,41.6,247,alert,on,evacuate
2026-04-07T11:01:49.738491,24,319,37,22.0,14,normal,off,stay
2026-04-07T11:01:54.738491,39,304,31,25.6,35,normal,off,stay
2026-04-07T11:01:59.738491,23,259,42,24.4,42,normal,off,stay
2026-04-07T11:02:04.738491,45,432,45,30.7,131,warning,on,prepare
2026-04-07T11:02:09.738491,21,357,35,25.9,40,normal,off,stay
2026-04-07T11:02:14.738491,88,605,91,58.1,242,alert,on,evacuate
2026-04-07T11:02:19.738491,53,541,52,26.8,64,warning,on,prepare
2026-04-07T11:02:24.738491,50,359,69,27.4,112,warning,on,prepare
2026-04-07T11:02:29.738491,23,302,26,20.5,55,normal,off,stay
2026-04-07T11:02:34.738491,35,224,46,19.4,42,normal,off,stay
2026-04-07T11:02:39.738491,56,399,50,27.0,86,warning,on,prepare
2026-04-07T11:02:44.738491,15,336,42,24.7,52,normal,off,stay
2026-04-07T11:02:49.738491,25,361,36,24.5,44,normal,off,stay
2026-04-07T11:02:54.738491,31,218,46,21.6,58,normal,off,stay
2026-04-07T11:02:59.738491,25,195,31,18.6,58,normal,off,stay
2026-04-07T11:03:04.738491,54,345,50,32.4,63,warning,on,prepare
2026-04-07T11:03:09.738491,54,387,57,26.6,132,warning,on,prepare
2026-04-07T11:03:14.738491,34,276,31,25.4,22,normal,off,stay
2026-04-07T11:03:19.738491,36,248,47,20.7,57,normal,off,stay
2026-04-07T11:03:24.738491,45,436,51,28.5,78,warning,on,prepare
2026-04-07T11:03:29.738491,11,311,44,22.7,34,normal,off,stay
2026-04-07T11:03:34.738491,20,374,41,24.9,58,normal,off,stay
2026-04-07T11:03:39.738491,47,370,43,23.4,94,warning,on,prepare
2026-04-07T11:03:44.738491,35,307,45,22.0,16,normal,off,stay
2026-04-07T11:03:49.738491,19,272,32,19.4,32,normal,off,stay
2026-04-07T11:03:54.738491,38,192,29,21.2,55,normal,off,stay
2026-04-07T11:03:59.738491,11,285,39,25.4,12,normal,off,stay
2026-04-07T11:04:04.738491,21,250,41,19.8,26,normal,off,stay
2026-04-07T11:04:09.738491,72,581,79,45.7,186,alert,on,evacuate
2026-04-07T11:04:14.738491,21,168,32,17.6,60,normal,off,stay
2026-04-07T11:04:19.738491,15,196,44,19.7,25,normal,off,stay
2026-04-07T11:04:24.738491,46,322,62,24.7,107,warning,on,prepare
2026-04-07T11:04:29.738491,17,221,34,20.4,52,normal,off,stay
2026-04-07T11:04:34.738491,35,256,30,19.9,41,normal,off,stay
2026-04-07T11:04:39.738491,49,376,59,34.4,129,warning,on,prepare
2026-04-07T11:04:44.738491,30,178,28,19.1,56,normal,off,stay
2026-04-07T11:04:49.738491,44,398,52,28.0,138,warning,on,prepare
2026-04-07T11:04:54.738491,33,196,28,17.8,48,normal,off,stay
2026-04-07T11:04:59.738491,91,694,95,48.4,174,alert,on,evacuate
2026-04-07T11:05:04.738491,29,182,37,21.1,20,normal,off,stay
2026-04-07T11:05:09.738491,64,409,69,32.0,106,warning,on,prepare
2026-04-07T11:05:14.738491,47,406,54,27.7,87,warning,on,prepare
2026-04-07T11:05:19.738491,54,455,62,24.1,106,warning,on,prepare
2026-04-07T11:05:24.738491,11,285,45,24.2,56,normal,off,stay
2026-04-07T11:05:29.738491,39,242,41,21.3,53,normal,off,stay
2026-04-07T11:05:34.738491,32,272,33,20.1,23,normal,off,stay
2026-04-07T11:05:39.738491,95,684,87,55.7,283,alert,on,evacuate
2026-04-07T11:05:44.738491,10,272,33,19.7,34,normal,off,stay
2026-04-07T11:05:49.738491,30,315,37,22.3,13,normal,off,stay
2026-04-07T11:05:54.738491,78,624,93,63.8,244,alert,on,evacuate
2026-04-07T11:05:59.738491,19,208,32,22.4,46,normal,off,stay
2026-04-07T11:06:04.738491,40,402,63,27.6,62,warning,on,prepare
2026-04-07T11:06:09.738491,51,556,83,41.8,208,alert,on,evacuate
2026-04-07T11:06:14.738491,41,451,51,27.7,101,warning,on,prepare
2026-04-07T11:06:19.738491,37,328,36,20.7,27,normal,off,stay
2026-04-07T11:06:24.738491,16,280,33,18.7,40,normal,off,stay
2026-04-07T11:06:29.738491,11,247,28,20.3,19,normal,off,stay
2026-04-07T11:06:34.738491,57,664,73,31.8,206,alert,on,evacuate
2026-04-07T11:06:39.738491,76,573,94,39.6,277,alert,on,evacuate
2026-04-07T11:06:44.738491,16,252,35,19.8,53,normal,off,stay
2026-04-07T11:06:49.738491,64,375,49,29.8,96,warning,on,prepare
2026-04-07T11:06:54.738491,38,332,45,18.8,50,normal,off,stay
2026-04-07T11:06:59.738491,62,658,73,36.3,141,alert,on,evacuate
2026-04-07T11:07:04.738491,76,636,72,57.1,221,alert,on,evacuate
2026-04-07T11:07:09.738491,47,364,56,26.0,115,warning,on,prepare
2026-04-07T11:07:14.738491,38,346,71,27.0,86,warning,on,prepare
2026-04-07T11:07:19.738491,34,170,31,21.3,27,normal,off,stay
2026-04-07T11:07:24.738491,14,176,26,21.5,46,normal,off,stay
2026-04-07T11:07:29.738491,27,252,40,22.0,26,normal,off,stay
2026-04-07T11:07:34.738491,25,325,27,20.1,42,normal,off,stay
2026-04-07T11:07:39.738491,46,484,48,24.7,119,warning,on,prepare
2026-04-07T11:07:44.738491,67,690,89,39.2,333,alert,on,evacuate
2026-04-07T11:07:49.738491,59,305,50,22.1,112,warning,on,prepare
2026-04-07T11:07:54.738491,21,306,37,21.2,44,normal,off,stay
2026-04-07T11:07:59.738491,33,238,46,22.1,10,normal,off,stay
2026-04-07T11:08:04.738491,17,265,39,21.6,27,normal,off,stay
2026-04-07T11:08:09.738491,16,296,39,16.9,49,normal,off,stay
2026-04-07T11:08:14.738491,20,345,38,24.3,42,normal,off,stay
2026-04-07T11:08:19.738491,33,378,39,23.7,33,normal,off,stay
2026-04-07T11:08:24.738491,77,499,85,35.1,149,alert,on,evacuate
2026-04-07T11:08:29.738491,15,203,25,21.6,14,normal,off,stay
2026-04-07T11:08:34.738491,43,351,63,33.0,87,warning,on,prepare
2026-04-07T11:08:39.738491,33,206,30,21.7,22,normal,off,stay
2026-04-07T11:08:44.738491,14,213,31,18.9,50,normal,off,stay
2026-04-07T11:08:49.738491,27,251,34,17.6,15,normal,off,stay
2026-04-07T11:08:54.738491,26,307,29,19.3,12,normal,off,stay
2026-04-07T11:08:59.738491,11,342,33,21.7,35,normal,off,stay
2026-04-07T11:09:04.738491,42,348,55,33.4,74,warning,on,prepare
2026-04-07T11:09:09.738491,11,200,30,22.9,49,normal,off,stay
2026-04-07T11:09:14.738491,18,302,45,22.9,10,normal,off,stay
2026-04-07T11:09:19.738491,37,365,62,28.6,112,warning,on,prepare
2026-04-07T11:09:24.738491,37,183,39,19.5,41,normal,off,stay
2026-04-07T11:09:29.738491,39,437,54,23.6,102,warning,on,prepare
2026-04-07T11:09:34.738491,81,570,63,56.3,240,alert,on,evacuate
2026-04-07T11:09:39.738491,12,193,34,20.7,38,normal,off,stay
